tstamp,age,gender,race,industry,title,annual_salary,currency,country,us_state,city,years_prof_work,years_field_work,education
2021-04-27 11:02:00,25-34,Woman,White,Nonprofits,Special Events Manager ,48068,USD,US,Maine,Portland,8 - 10 years,8 - 10 years,College degree
2021-04-27 11:02:00,45-54,Woman,White,Education (Higher Education),Executive Assistant,76500,USD,US,Washington,Seattle,31 - 40 years,21 - 30 years,College degree
2021-04-27 11:02:00,45-54,Woman,White,Property or Construction,Staff Accountant,49000,USD,US,Illinois,Rockford,31 - 40 years,21 - 30 years,Some college
2021-04-27 11:02:00,25-34,Woman,Black or African American,Law,L&D Specialist ,91000,USD,US,District of Columbia,"Washington, DC",5-7 years,5-7 years,"Professional degree (MD, JD, etc.)"
2021-04-27 11:02:00,45-54,Woman,White,Health care,RN,100000,USD,US,Oregon,Portland,11 - 20 years,5-7 years,College degree
2021-04-27 11:02:00,45-54,Woman,White,"Accounting, Banking & Finance",Director of Human Resources,94000,USD,US,Texas,Waco,11 - 20 years,11 - 20 years,College degree
2021-04-27 11:03:00,25-34,Man,Asian or Asian American,Computing or Tech,Software Developer,175000,USD,US,Washington,Seattle,8 - 10 years,5-7 years,High School
2021-04-27 11:03:00,25-34,Woman,Asian or Asian American,Computing or Tech,Data scientist,135000,USD,US,Illinois,Chicago,5-7 years,2 - 4 years,PhD
2021-04-27 11:03:00,25-34,Woman,White,Insurance,Talent Management Specialist II,64000,USD,US,Texas,Houston,5-7 years,5-7 years,College degree
2021-04-27 11:03:00,45-54,Woman,Native American or Alaska Native,Health care,DBA/Programmer,85000,USD,US,Illinois,Collinsville,21 - 30 years,11 - 20 years,College degree
2021-04-27 11:03:00,55-64,Woman,White,Government and Public Administration,Administrative Analyst II,99000,USD,US,California,Oakland,31 - 40 years,21 - 30 years,College degree
2021-04-27 11:03:00,35-44,Woman,White,Law,Corporate Counsel ,104000,USD,US,Oregon,Portland,11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)"
2021-04-27 11:03:00,25-34,Woman,White,"Marketing, Advertising & PR",Marketing Content Creator ,65000,USD,US,New York,Brooklyn,8 - 10 years,2 - 4 years,College degree
2021-04-27 11:03:00,35-44,Woman,White,Education (Higher Education),Program Coordinator,35140,USD,US,Montana,Bozeman,11 - 20 years,8 - 10 years,Master's degree
2021-04-27 11:03:00,35-44,Woman,White,"Marketing, Advertising & PR","Vice President, Marketing",198000,USD,US,California,Irvine,21 - 30 years,21 - 30 years,College degree
2021-04-27 11:03:00,25-34,Woman,White,Law,Attorney,94500,USD,US,Virginia,Richmond,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)"
2021-04-27 11:03:00,35-44,Woman,White,Government and Public Administration,Staff Development Specialist,91000,USD,US,Connecticut,Hartford,11 - 20 years,2 - 4 years,Master's degree
2021-04-27 11:03:00,35-44,Woman,White,Law,associate attorney,80000,USD,US,Illinois,Will County,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)"
